"Nommunicipio","Porcentual"
"Tanetze de Zaragoza",1.02625993932751e-05
"Santo Domingo Tepuxtepec",3.45482096081335e-05
"San Juan Mazatlán",0.000152242199996146
"Totontepec Villa de Morelos",0.000179608292275377
"Cosolapa",0.000286754830964738
"San Pedro Ocotepec",0.000451532501309444
"San José Independencia",0.000534492270944822
"San Pedro Cajonos",0.000567762448191677
"Acatlán de Pérez Figueroa",0.000591929772814699
"San Juan Petlapa",0.000752514527292949
"San Juan Bautista Tuxtepec",0.000776894136572785
"San Ildefonso Villa Alta",0.000787069509586141
"Santa María Tecomavaca",0.000794657780626773
"San Pedro Mixtepec - Dto. 22",0.000846216091856757
"San Miguel Soyaltepec",0.000884020833870438
"Santiago Choápam",0.000898420397257542
"San Juan Guichicovi",0.000905811210252441
"Matías Romero Avendaño",0.000909133503200825
"Mixistlán de La Reforma",0.000927992427581791
"Santa María Temaxcalapa",0.00115613810234795
"San Cristóbal Lachirioag",0.00135560783062876
"San José Chiltepec",0.00154871882235421
"Loma Bonita",0.00192884886767395
"San Antonio Nanahuatípam",0.00200107557812324
"San Juan Lalana",0.00261245646473201
"San Juan de Los Cués",0.00295020303133361
"La Reforma",0.00295638916633464
"Villa Talea de Castro",0.00310872403617598
"Santa María Chimalapa",0.003539692489215
"San Pedro Ixcatlán",0.00354065273845433
"Santiago Lalopa",0.00359410997257694
"San Martín Toxpalan",0.00362644194239138
"San Juan Cotzocón",0.00366266376896522
"San Mateo Piñas",0.0037108963959284
"San Juan Yaeé",0.0037121650831631
"San Bartolomé Loxicha",0.00380478278376657
"Santiago Yaveo",0.00384963140437898
"Candelaria Loxicha",0.00391720778062553
"Santa María Alotepec",0.00395991928100538
"San Agustín Loxicha",0.00398441450145064
"Santa Catarina Lachatao",0.00402936601955048
"Santa Cruz Acatepec",0.00413392362317736
"San Juan Comaltepec",0.00428940663208256
"Santa Catarina Loxicha",0.00433194949919835
"San Felipe Jalapa de Díaz",0.00439986688826084
"Santo Domingo Xagacía",0.00447681012355996
"Santa Ana Ateixtlahuaca",0.00449071239028373
"Villa de Tututepec de Melchor Ocampo",0.00455597761814618
"San Miguel Panixtlahuaca",0.00456666716906775
"San Felipe Usila",0.00459186917858422
"San Miguel del Puerto",0.00460104387404993
"San Juan Lachao",0.00462762784129781
"San Miguel Yotao",0.00472032098182676
"San Baltazar Loxicha",0.00473085239067295
"San Pedro El Alto",0.00475326610536672
"San Juan Tabaá",0.00484284953266502
"Pluma Hidalgo",0.00495910478071267
"Santiago Jocotepec",0.00504784031690247
"Santo Domingo Petapa",0.00512255610131946
"San Gabriel Mixtepec",0.00512627830763074
"San Lucas Ojitlán",0.00513554785412323
"Tataltepec de Valdés",0.00518809122240962
"Santa María La Asunción",0.00547565556066376
"Santa Cruz Itundujia",0.00559682318372563
"Guelatao de Juárez",0.00564652738565782
"San Andrés Solaga",0.00628988357997301
"Santiago Camotlán",0.00647252221521109
"San Juan Coatzóspam",0.00660200802568453
"Valerio Trujano",0.00669475385236913
"San José Estancia Grande",0.00691203271547317
"Santiago Nuyoó",0.00720724798246253
"Santa María Colotepec",0.00784744519789527
"San Miguel Santa Flor",0.00788130307213194
"Santiago Yaitepec",0.00814122655575453
"San Andrés Cabecera Nueva",0.00814823846384888
"Santa María Ipalapa",0.00815559829205987
"San Juan Yatzona",0.00829312968291399
"Santa María Jacatepec",0.00829487036195206
"Santa Catarina Yosonotú",0.00849465000408397
"Santiago Tetepec",0.00854461222146567
"Santa María Zacatepec",0.00892013957852749
"San Pedro Pochutla",0.00907640802751451
"Constancia del Rosario",0.00915770418485784
"San José Tenango",0.00919451999325614
"Santo Domingo de Morelos",0.00925514141134897
"Santa Catarina Juquila",0.00932944126475208
"Santa María del Rosario",0.0094314598131392
"San Pedro Amuzgos",0.00947191695023218
"San Juan Juquila Vijanos",0.0095386210471747
"Santa María Tlahuitoltepec",0.00954987821811
"San Andrés Yaá",0.00967957384062904
"San Juan Bautista Lo de Soto",0.00977015602220152
"San Miguel El Grande",0.00987281535481
"Santa María Tlalixtac",0.00990124583501942
"San Pedro Sochiápam",0.0104685503850709
"San Mateo Yoloxochitlán",0.0105078313654725
"Huautepec",0.0106633153389887
"Mártires de Tacubaya",0.0107318666448919
"Santa María Yalina",0.0107418596844579
"Ixtlán de Juárez",0.0109336644169592
"Mesones Hidalgo",0.0109739971138388
"Chalcatongo de Hidalgo",0.0110108092107911
"Santa María Yavesía",0.0111267605633803
"Santa Lucía Monteverde",0.0112777803041623
"Teotitlán de Flores Magón",0.0112910343621162
"Santos Reyes Nopala",0.0113294331002808
"San Bartolomé Ayautla",0.0113482921939094
"Santa María Zaniza",0.0114983339069552
"San Pedro Yaneri",0.0115742482236423
"San Bartolomé Zoogocho",0.0118623962040332
"Capulálpam de Méndez",0.0118907506946382
"Santa María Tonameca",0.0119298644958107
"San Baltazar Yatzachi El Bajo",0.0120019203072492
"San Juan Bautista Valle Nacional",0.0122467034787122
"Putla Villa de Guerrero",0.0123268684164131
"Santiago Jamiltepec",0.0130136743487523
"Santiago Tapextla",0.0131131872038605
"San Juan Bautista Tlacoatzintepec",0.0132733177112705
"San Juan Quiahije",0.013386707002493
"Eloxochitlán de Flores Magón",0.0134792362987043
"Santa María Yucuhiti",0.0135224878778466
"Santa María Temaxcaltepec",0.0135878142281734
"San Miguel Tlacamama",0.0137465261864104
"Santa María Petapa",0.0138254927310625
"Santiago Comaltepec",0.0138737336088994
"Santa Cruz Tacahua",0.0141809078675098
"Santa Catarina Ixtepeji",0.0144163952788898
"Santo Domingo Teojomulco",0.0147250682506913
"San Andrés Huaxpaltepec",0.014728928477185
"Santa Catarina Mechoacán",0.0151105675339791
"San Sebastián Río Hondo",0.0153106634564748
"San Agustín Chayuco",0.0154978758278668
"Santa María Huatulco",0.0155072935367699
"Santa Catarina Ticuá",0.0158704098943797
"San Pedro Tapanatepec",0.016391260234515
"Santo Domingo Ixcatlán",0.0165331489636722
"San Juan Chicomezúchil",0.0165362956925903
"Santa Cruz Zenzontepec",0.0166457695376841
"San Pedro Juchatengo",0.0168999075916383
