"Nommunicipio","Siniestrada"
"Tanetze de Zaragoza",0.1
"Santo Domingo Tepuxtepec",0.5
"San Pedro Cajonos",0.9
"San Bartolomé Zoogocho",5
"Totontepec Villa de Morelos",6
"San Pedro Ocotepec",8
"Santa María Yalina",8
"San Cristóbal Lachirioag",8.5
"Santa María Temaxcalapa",8.75
"San José Independencia",9
"Santa María Tecomavaca",9
"Guelatao de Juárez",10
"Mixistlán de La Reforma",10
"Santiago Lalopa",10
"Santo Domingo Xagacía",15
"San Antonio Nanahuatípam",16
"Santa María Yavesía",19.75
"San Juan Petlapa",20
"San Juan Tabaá",20
"San Miguel Yotao",20
"San Ildefonso Villa Alta",21.5
"Santa Ana Ateixtlahuaca",22
"San Baltazar Yatzachi El Bajo",25
"Valerio Trujano",29
"San Andrés Yaá",30
"San Juan Evangelista Analco",30
"Santa Cruz Acatepec",32
"Santa María del Rosario",32
"San Andrés Solaga",33
"San Juan Yaeé",35
"San Miguel Santa Flor",35
"San Juan de Los Cués",36
"Santa Catarina Lachatao",40
"San Miguel del Río",45
"Villa Talea de Castro",45.5
"Cosolapa",47
"Capulálpam de Méndez",49
"Santa María Jaltianguis",50
"Santo Domingo Ixcatlán",55
"San Juan Chicomezúchil",56
"San Juan Yatzona",57.5
"Santiago Choápam",60
"San Martín Toxpalan",63
"La Reforma",65
"Santa María Tlalixtac",69
"Santa María Tataltepec",70
"Santa Catarina Loxicha",71.06
"Santa Lucía del Camino",72
"San Juan Mazatlán",79
"San Antonio de La Cal",81
"Santa Catarina Ticuá",87
"San Lorenzo Cuaunecuiltitla",91
"Santa Ana Yareni",91
"San Juan Atepec",92.25
"San Pedro El Alto",92.57
"Asunción Cuyotepeji",96.85
"Santa Cruz Tacahua",98
"San Pedro Yaneri",100
"Santa Ana Cuauhtémoc",101
"Santa María La Asunción",101
"Abejones",102
"Nuevo Zoquiápam",103
"San Miguel Suchixtepec",106
"San Jacinto Amilpas",109
"San Baltazar Loxicha",109.62
"San Juan Achiutla",110
"Santa Catarina Tayata",114
"San Bartolomé Loxicha",114.05
"San Juan Juquila Vijanos",115
"San Juan Quiotepec",121.25
"Santa María Yolotepec",126
"Santiago Comaltepec",126
"Constancia del Rosario",129
"Santa Catarina Yosonotú",130
"San Miguel Amatlán",131
"San Ildefonso Sola",133
"Santa Cruz Amilpas",135.5
"San Andrés Cabecera Nueva",137
"Santa Catarina Ixtepeji",139
"Santiago Laxopa",142
"Teotitlán de Flores Magón",142
"San Pedro Jaltepetongo",144.5
"Teococuilco de Marcos Pérez",147
"Santa María Zaniza",148
"Santa María Alotepec",150
"San Pedro Mártir Yucuxaco",150.5
"San Agustín Etla",152
"Villa de Etla",155
"San José Estancia Grande",155.5
"San Mateo Yoloxochitlán",156
"San Pedro Amuzgos",160
"San Pedro Mixtepec - Dto. 22",160
"Santiago Xiacuí",161
"San Agustín Tlacotepec",164
"San Sebastián Tutla",165
"San Pedro Ocopetatillo",165.5
"San Pedro Molinos",172
"San Andrés Tepetlapa",180
"San Sebastián Río Hondo",182
"San Pablo Macuiltianguis",189
"Santa Cruz Tayata",190
"Santa María Ixcatlán",190
"Santiago Yaitepec",202.63
"San Pedro Juchatengo",203
"Santiago Miltepec",206.5
"Santo Domingo Ozolotepec",213
"San Cristóbal Amoltepec",216
"San Agustín Yatareni",217
"Santa Cruz de Bravo",219
"Acatlán de Pérez Figueroa",223
"San Jerónimo Tecóatl",224
"Santa Cruz Itundujia",226
"San Juan Coatzóspam",226.3
"Santa María Tlahuitoltepec",228
"Mártires de Tacubaya",230
"San Bartolomé Yucuañe",230
"San Juan Bautista Lo de Soto",231
"San Juan Comaltepec",234
"Santa María Guelacé",234
"Santiago Camotlán",235
"San Miguel Soyaltepec",251
"San Miguel Achiutla",256
"Santiago Texcalcingo",258
"San Miguel El Grande",260
"San Juan Quiahije",262.85
"San Antonio Sinicahua",272.5
"San Miguel Tecomatlán",280.99
"Santa María Temaxcaltepec",281.11
"Chiquihuitlán de Benito Juárez",283
"San Pedro Ixcatlán",287
"San Miguel Panixtlahuaca",287.84
"Santiago Nuyoó",293
"San Juan Teita",298
"Magdalena Peñasco",299
"Mesones Hidalgo",300
"Santo Domingo Teojomulco",300
"San Marcial Ozolotepec",304
"Santa Cruz Nundaco",305
"San Francisco Huehuetlán",308.5
"Magdalena Mixtepec",309
"Santiago Nundiche",309
"Santa María Ipalapa",310
"San Pedro Yólox",316.5
"San Miguel Aloápam",320
"Santiago Tetepec",320
"Cuyamecalco Villa de Zaragoza",323
"Santo Domingo Yodohino",324.5
"San José Chiltepec",330
"San Martín Huamelúlpam",335
"Santa María Texcatitlán",335
"San Juan Lachao",338.2
"Santos Reyes Pápalo",340
"Santa María Camotlán",340.5
"San Francisco Sola",343.5
"San Martín Itunyoso",344
"San Mateo Piñas",348.25
"San Pedro Jocotipac",349.5
"San Juan Bautista Tlacoatzintepec",350
"Santa María Tepantlali",353.65
"San Bartolomé Ayautla",355
"San Mateo Río Hondo",359
"San Juan Tepeuxila",359.5
"Eloxochitlán de Flores Magón",368
"Santo Domingo Tomaltepec",370
"San Pedro Tidaá",374
"San Juan Guichicovi",378
"Santa Catarina Mechoacán",383
"Matías Romero Avendaño",384
"San Mateo Peñasco",395
"San Francisco Ozolotepec",402
"San Agustín de Las Juntas",410
"San Nicolás Hidalgo",412.25
"Oaxaca de Juárez",416
"San Miguel Tenango",416
"San Mateo Nejápam",420
"San Raymundo Jalpan",422
"San Juan Bautista Suchitepec",422.75
"Candelaria Loxicha",433.74
"San Pablo Etla",436
"San Gabriel Mixtepec",443.96
"Santiago Tapextla",450
"San Jacinto Tlacotepec",452
"San Lorenzo Victoria",454.25
"San Juan Ozolotepec",471
"San Miguel Tlacamama",476
"San Pedro Mixtepec",476
"San Juan Bautista Tlachichilco",477.05
"San Lorenzo Texmelúcan",501
"Huautepec",504
"San Pedro Sochiápam",506
"Santiago Nejapilla",508
"San Miguel del Puerto",510.61
"Magdalena Yodocono de Porfirio Díaz",514
"Santa María Yucuhiti",520.25
"Santa María Coyotepec",525
"Santa María Atzompa",531
"Santiago Ixcuintepec",532
"Rojas de Cuauhtémoc",534
"Loma Bonita",536
"San Andrés Huaxpaltepec",547
"San Antonio Tepetlapa",548
"Santiago Tepetlapa",553.5
"Santa María Cortijo",554
"Santiago Cacaloxtepec",555.75
"San Juan Cieneguilla",560
"Tataltepec de Valdés",566
"Santos Reyes Tepejillo",567
"Pluma Hidalgo",567.32
"Santiago Textitlán",569
"San Juan Mixtepec - Dto. 26",570.5
"Santa María Lachixío",572
"San Miguel Ejutla",574
"Santa María Chimalapa",576
"Santa Cruz Xoxocotlán",584
"Chalcatongo de Hidalgo",585.5
"Guadalupe Etla",588
"Santa María Teopoxco",596
"San Jerónimo Silacayoapilla",602
"Magdalena Tlacotepec",603
"San Miguel Tlacotepec",608
"San Juan Lalana",614
"Nazareno Etla",614.5
"Santos Reyes Yucuná",632.5
"Ixtlán de Juárez",636.26
"Santa María Ozolotepec",637.4
"Santo Domingo Petapa",638.25
"Santiago Xanica",655
"Santo Domingo Tonaltepec",655.5
"Taniche",660
"Santiago Minas",668
"Santa Catarina Zapoquila",668.5
"Santo Domingo Tlatayápam",669
"San Francisco Nuxaño",672
"Santiago Llano Grande",674.5
"San Miguel Tulancingo",675
"San Juan Bautista Guelache",682
"San Juan Bautista Jayacatlán",683
"San Felipe Usila",686
"San Pedro Teutila",687.5
"Santiago Amoltepec",689
"San Juan Ihualtepec",701.5
"San Pedro Yucunama",703
"Santa María Zacatepec",710.5
"Santiago Yucuyachi",714.25
"San Bartolo Yautepec",721
"San Martín de Los Cansecos",723
"Santa María Yosoyúa",734
"Santa Catarina Minas",749
"San Agustín Loxicha",750.36
"Santa Inés Yatzeche",756
"San Juan Cacahuatepec",760
"San Francisco Cahuacuá",766
"Santa María Pápalo",770
"Santo Domingo de Morelos",770
"San Miguel Piedras",774.75
"San Andrés Ixtlahuaca",776
"San Juan Bautista Atatlahuca",779
"Santa María Petapa",786
"Santa Magdalena Jicotlán",790
"San Andrés Zabache",796.75
"San Lorenzo",797.5
"Santiago Jocotepec",802.5
"Fresnillo de Trujano",806
"San Juan Diuxi",809.5
"San Juan Lajarcia",820.5
"San Pedro Atoyac",838
"Ánimas Trujano",845
"Zapotitlán Palmas",861.5
