"Nomcultivo","Siniestrada"
"Maíz grano",815350.43
"Frijol",35423.29
"Sorgo grano",30390.5
"Trigo grano",27873.13
"Ajonjolí",10369.5
"Café cereza",3085.08
"Melón",778.5
"Chile seco",770
"Arroz palay",680
"Sandía",666
"Cacahuate",620.5
"Cebada grano",572.09
"Garbanzo grano",547
"Chile verde",539.75
"Alpiste",337.1
"Jamaica",307
"Calabacita",247.5
"Tomate rojo (jitomate)",237.75
"Avena forrajera en verde",120.21
"Sorgo forrajero en verde",100
"Maíz forrajero en verde",93
"Tomate verde",45.5
"Papa",36
"Ajo",14
"Cebada forrajera en verde",9
"Chícharo",9
"Cebolla",6
"Ejote",6
"Flores",5
"Zempoalxochitl",5
"Cilantro",4
"Col (repollo)",4
"Haba grano",4
"Camote",2
"Pepino",2
